id,name,slug,description,short_description,category_id,base_price,is_featured
1,Camisa Casual A36,camisa-casual-a36,Camisa Casual ideal para cualquier ocasión. Fabricado con materiales premium.,Camisa Casual de alta calidad y diseño moderno.,12,519.22,True
2,Traje de Oficina X54,traje-de-oficina-x54,Traje de Oficina ideal para cualquier ocasión. Fabricado con materiales premium.,Traje de Oficina de alta calidad y diseño moderno.,13,405.39,False
3,Bolso de Mano Q13,bolso-de-mano-q13,Bolso de Mano ideal para cualquier ocasión. Fabricado con materiales premium.,Bolso de Mano de alta calidad y diseño moderno.,5,331.82,True
4,Vestido Largo B84,vestido-largo-b84,Vestido Largo ideal para cualquier ocasión. Fabricado con materiales premium.,Vestido Largo de alta calidad y diseño moderno.,3,212.77,False
5,Vestido Corto X3,vestido-corto-x3,Vestido Corto ideal para cualquier ocasión. Fabricado con materiales premium.,Vestido Corto de alta calidad y diseño moderno.,11,519.92,True
6,Zapatillas X48,zapatillas-x48,Zapatillas ideal para cualquier ocasión. Fabricado con materiales premium.,Zapatillas de alta calidad y diseño moderno.,15,558.15,True
7,Bolso de Mano J40,bolso-de-mano-j40,Bolso de Mano ideal para cualquier ocasión. Fabricado con materiales premium.,Bolso de Mano de alta calidad y diseño moderno.,8,352.02,False
8,Camisa Formal S38,camisa-formal-s38,Camisa Formal ideal para cualquier ocasión. Fabricado con materiales premium.,Camisa Formal de alta calidad y diseño moderno.,1,771.52,False
9,Vestido Corto M4,vestido-corto-m4,Vestido Corto ideal para cualquier ocasión. Fabricado con materiales premium.,Vestido Corto de alta calidad y diseño moderno.,2,274.58,True
10,Sudadera con Capucha Y8,sudadera-con-capucha-y8,Sudadera con Capucha ideal para cualquier ocasión. Fabricado con materiales premium.,Sudadera con Capucha de alta calidad y diseño moderno.,14,755.7,False
11,Zapatillas B28,zapatillas-b28,Zapatillas ideal para cualquier ocasión. Fabricado con materiales premium.,Zapatillas de alta calidad y diseño moderno.,13,414.25,True
12,Sudadera con Capucha E95,sudadera-con-capucha-e95,Sudadera con Capucha ideal para cualquier ocasión. Fabricado con materiales premium.,Sudadera con Capucha de alta calidad y diseño moderno.,8,359.37,False
13,Pantalón Chino U4,pantalon-chino-u4,Pantalón Chino ideal para cualquier ocasión. Fabricado con materiales premium.,Pantalón Chino de alta calidad y diseño moderno.,14,99.71,False
14,Falda Midi E84,falda-midi-e84,Falda Midi ideal para cualquier ocasión. Fabricado con materiales premium.,Falda Midi de alta calidad y diseño moderno.,12,701.33,True
15,Cartera Elegante T29,cartera-elegante-t29,Cartera Elegante ideal para cualquier ocasión. Fabricado con materiales premium.,Cartera Elegante de alta calidad y diseño moderno.,11,591.27,False
16,Zapatillas W9,zapatillas-w9,Zapatillas ideal para cualquier ocasión. Fabricado con materiales premium.,Zapatillas de alta calidad y diseño moderno.,12,625.27,False
17,Camisa Casual W91,camisa-casual-w91,Camisa Casual ideal para cualquier ocasión. Fabricado con materiales premium.,Camisa Casual de alta calidad y diseño moderno.,2,645.66,False
18,Chaqueta de Cuero U53,chaqueta-de-cuero-u53,Chaqueta de Cuero ideal para cualquier ocasión. Fabricado con materiales premium.,Chaqueta de Cuero de alta calidad y diseño moderno.,12,525.96,True
19,Botines C88,botines-c88,Botines ideal para cualquier ocasión. Fabricado con materiales premium.,Botines de alta calidad y diseño moderno.,10,776.17,False
20,Zapatillas H50,zapatillas-h50,Zapatillas ideal para cualquier ocasión. Fabricado con materiales premium.,Zapatillas de alta calidad y diseño moderno.,10,374.58,True
21,Bolso de Mano D9,bolso-de-mano-d9,Bolso de Mano ideal para cualquier ocasión. Fabricado con materiales premium.,Bolso de Mano de alta calidad y diseño moderno.,3,612.36,False
22,Camisa Casual B15,camisa-casual-b15,Camisa Casual ideal para cualquier ocasión. Fabricado con materiales premium.,Camisa Casual de alta calidad y diseño moderno.,4,720.78,False
23,Pantalón Jeans Y10,pantalon-jeans-y10,Pantalón Jeans ideal para cualquier ocasión. Fabricado con materiales premium.,Pantalón Jeans de alta calidad y diseño moderno.,10,180.85,True
24,Vestido Corto O16,vestido-corto-o16,Vestido Corto ideal para cualquier ocasión. Fabricado con materiales premium.,Vestido Corto de alta calidad y diseño moderno.,8,248.14,False
25,Vestido Corto M61,vestido-corto-m61,Vestido Corto ideal para cualquier ocasión. Fabricado con materiales premium.,Vestido Corto de alta calidad y diseño moderno.,13,556.76,False
26,Falda Midi T98,falda-midi-t98,Falda Midi ideal para cualquier ocasión. Fabricado con materiales premium.,Falda Midi de alta calidad y diseño moderno.,9,138.51,True
27,Vestido Corto S47,vestido-corto-s47,Vestido Corto ideal para cualquier ocasión. Fabricado con materiales premium.,Vestido Corto de alta calidad y diseño moderno.,13,656.62,True
28,Camisa Casual V12,camisa-casual-v12,Camisa Casual ideal para cualquier ocasión. Fabricado con materiales premium.,Camisa Casual de alta calidad y diseño moderno.,12,391.14,True
29,Zapatillas Q97,zapatillas-q97,Zapatillas ideal para cualquier ocasión. Fabricado con materiales premium.,Zapatillas de alta calidad y diseño moderno.,7,523.59,False
30,Camisa Formal S42,camisa-formal-s42,Camisa Formal ideal para cualquier ocasión. Fabricado con materiales premium.,Camisa Formal de alta calidad y diseño moderno.,11,612.74,False
31,Vestido Corto J98,vestido-corto-j98,Vestido Corto ideal para cualquier ocasión. Fabricado con materiales premium.,Vestido Corto de alta calidad y diseño moderno.,13,393.2,True
32,Cartera Elegante H77,cartera-elegante-h77,Cartera Elegante ideal para cualquier ocasión. Fabricado con materiales premium.,Cartera Elegante de alta calidad y diseño moderno.,1,783.7,False
33,Camisa Casual T49,camisa-casual-t49,Camisa Casual ideal para cualquier ocasión. Fabricado con materiales premium.,Camisa Casual de alta calidad y diseño moderno.,10,741.99,False
34,Cartera Elegante L5,cartera-elegante-l5,Cartera Elegante ideal para cualquier ocasión. Fabricado con materiales premium.,Cartera Elegante de alta calidad y diseño moderno.,2,400.09,False
35,Vestido Largo D55,vestido-largo-d55,Vestido Largo ideal para cualquier ocasión. Fabricado con materiales premium.,Vestido Largo de alta calidad y diseño moderno.,2,453.28,False
